client4xx,cron_cpu_percent_one_core,cron_max_checkout_wait_ms,cron_queued_checkouts,cron_queued_timeouts,cron_rss_MiB,http_cpu_percent_one_core,http_max_checkout_wait_ms,http_queued_checkouts,http_queued_timeouts,http_rss_MiB,minute_started_utc,requests,resolution_cpu_percent_one_core,resolution_max_checkout_wait_ms,resolution_queued_checkouts,resolution_queued_timeouts,resolution_rss_MiB,server5xx,step_admitted,step_failed,step_max_queued_per_worker,step_rejected
8,23.42592908057965,492.414387,2057,0,322.44140625,15.576899888675964,0,0,0,725.53515625,2026-09-07T00:02:00+00:00,396,17.796511645287502,160.562163,36,0,319.78125,0,35,0,0,0
8,3.9991598775047064,366.500142,60,0,322.56640625,10.973939083695331,0,0,0,750.484375,2026-09-07T00:03:00+00:00,285,12.273763727141494,29.933553,8,0,319.296875,0,13,0,0,0
16,3.1786130641051633,118.571425,51,0,322.56640625,11.079949188980635,1.163646,2,0,801.06640625,2026-09-07T00:04:00+00:00,282,10.856701867300265,44.600849,21,0,319.296875,0,18,0,0,0
11,5.516108999320916,64.988081,47,0,322.56640625,13.50061850013222,0,0,0,810.66015625,2026-09-07T00:05:00+00:00,358,21.754715483663283,89.429828,62,0,319.44921875,0,26,0,0,0
5,5.23235807457412,371.824197,86,0,322.56640625,19.826692813363096,8.268631,1,0,811.96875,2026-09-07T00:06:00+00:00,563,20.894846128128876,91.371806,43,0,319.21484375,0,34,0,0,0
20,8.422700617239421,952.240649,442,0,322.56640625,21.44536831505892,0,0,0,848.5546875,2026-09-07T00:07:00+00:00,629,25.970756701711,75.459378,65,0,319.19921875,0,38,0,0,0
6,3.8956273619881223,72.094989,48,0,322.56640625,12.537814107688142,0,0,0,860.44140625,2026-09-07T00:08:00+00:00,333,17.326767760814036,68.824566,30,0,319.265625,0,28,0,0,0
10,4.5010449172768,149.108449,83,0,322.56640625,12.428859008746699,0,0,0,861.01953125,2026-09-07T00:09:00+00:00,318,21.522738434667932,38.911304,30,0,319.55859375,0,30,0,0,0
12,6.442386825985774,77.539975,69,0,322.69140625,16.98079633002377,0,0,0,861.27734375,2026-09-07T00:10:00+00:00,492,23.113888679559665,125.507914,30,0,319.4765625,0,37,0,0,0
8,3.9674498305715162,165.332483,72,0,322.69140625,13.31270779494162,0,0,0,861.74609375,2026-09-07T00:11:00+00:00,399,16.035936733863647,38.409594,31,0,319.2890625,0,24,0,0,0
5,6.495153931806115,221.833523,318,0,322.69140625,9.861455139191893,0,0,0,861.95703125,2026-09-07T00:12:00+00:00,231,13.60483795317644,51.39149,18,0,319.17578125,0,15,0,0,0
10,4.271940720795317,123.906797,51,0,322.69140625,11.024252917831767,0,0,0,861.98828125,2026-09-07T00:13:00+00:00,279,17.468916029375336,53.938352,34,0,319.75,0,25,0,0,0
21,5.815629476454541,87.805891,58,0,322.81640625,17.55691048602056,0,0,0,869.1640625,2026-09-07T00:14:00+00:00,536,24.695553261471506,70.957425,24,0,319.27734375,0,42,0,0,0
11,5.474445171698447,127.571374,67,0,322.81640625,19.580910090436078,5.681623,4,0,869.72265625,2026-09-07T00:15:00+00:00,542,21.97508393942437,61.791746,81,0,321.69140625,0,32,0,0,0
3,4.978039740591878,112.568762,53,0,322.81640625,13.913103883353495,0,0,0,870.14453125,2026-09-07T00:16:00+00:00,375,19.21119444998655,48.058191,19,0,321.34765625,0,31,0,0,0
0,7.058346359791584,313.209451,385,0,322.81640625,15.601878472916383,0,0,0,872.0625,2026-09-07T00:17:00+00:00,475,25.960642733121343,64.257683,32,0,322.234375,0,42,0,0,0
5,4.154413066947763,420.452829,99,0,322.81640625,8.92185220762596,0,0,0,875.6484375,2026-09-07T00:18:00+00:00,205,17.045131646463034,57.39089,26,0,321.51953125,0,19,0,0,0
69,5.930610142603,155.521864,63,0,322.81640625,14.052634182515863,0,0,0,875.70703125,2026-09-07T00:19:00+00:00,437,23.687778647703546,24.812402,27,0,324.2421875,0,41,0,0,0
36,5.36403438485785,261.044779,86,0,322.81640625,18.73593413050218,0,0,0,877.10546875,2026-09-07T00:20:00+00:00,487,21.942221813573948,45.300104,23,0,321.43359375,0,26,0,0,0
17,4.655646098769672,49.949068,43,0,322.81640625,12.31675985467994,0,0,0,877.1484375,2026-09-07T00:21:00+00:00,342,21.47047879272931,56.188176,44,0,321.49609375,0,30,0,0,0
40,6.158605695778449,502.399464,369,0,322.81640625,10.637735873090696,0,0,0,877.328125,2026-09-07T00:22:00+00:00,304,16.29953943335742,122.996943,34,0,321.515625,0,15,0,0,0
21,4.028599956430395,109.727864,48,0,322.81640625,13.624245633982543,45.928814,5,0,877.73046875,2026-09-07T00:23:00+00:00,416,12.595033219526226,38.146326,26,0,321.76171875,0,19,0,0,0
13,5.074320355466963,88.544851,58,0,322.81640625,12.62833807648008,0,0,0,877.80859375,2026-09-07T00:24:00+00:00,304,21.113597560265678,91.988375,54,0,321.51953125,0,34,0,0,0
5,7.227889782962996,175.396413,58,0,322.81640625,17.679687866869273,0,0,0,878.7421875,2026-09-07T00:25:00+00:00,480,27.821405936546757,82.055853,54,0,322.9609375,0,35,0,0,0
31,4.970585296069733,92.669777,65,0,322.81640625,16.62427450120137,0,0,0,880.41015625,2026-09-07T00:26:00+00:00,499,17.068753863689476,63.022889,45,0,323.53515625,0,26,0,0,0
12,6.476735041160711,448.442736,454,0,322.81640625,11.57541414448529,0,0,0,880.50390625,2026-09-07T00:27:00+00:00,313,17.62893141974437,39.160318,30,0,323.44921875,0,22,0,0,0
8,5.1056340197929915,216.465236,126,0,323.19140625,12.741810112866249,0,0,0,881.01953125,2026-09-07T00:28:00+00:00,380,35.733797656392824,40.652335,43,0,327.58984375,0,29,0,0,0
6,5.439112623457267,259.387959,136,0,323.19140625,14.739895762947956,8.311832,1,0,881.00390625,2026-09-07T00:29:00+00:00,440,14.240193696182143,29.349202,18,0,327.65234375,0,16,0,0,0
10,4.613544229233985,138.201753,88,0,323.19140625,12.029111311188952,0,0,0,881.04296875,2026-09-07T00:30:00+00:00,292,12.203525809191788,159.869927,24,0,328.89453125,0,16,0,0,0
10,5.232218630403436,497.274898,82,0,323.19140625,14.304418560321842,0,0,0,881.07421875,2026-09-07T00:31:00+00:00,395,20.615004462290994,67.47741,52,0,327.61328125,0,25,0,0,0
1,6.214391674918414,363.091576,319,0,323.19140625,9.866140144162895,0,0,0,881.14453125,2026-09-07T00:32:00+00:00,232,20.817565051182427,39.110865,72,0,327.61328125,0,35,0,0,0
5,4.149118335566518,206.059937,65,0,323.19140625,12.480937282749084,0,0,0,881.15234375,2026-09-07T00:33:00+00:00,361,22.289633795666767,52.678067,34,0,327.60546875,0,29,0,0,0
0,4.099945991251044,203.313023,61,0,323.31640625,9.760850246401239,0,0,0,881.2578125,2026-09-07T00:34:00+00:00,268,18.756852607146392,53.311666,36,0,327.6328125,0,27,0,0,0
1,3.4118294890170606,175.319365,45,0,323.31640625,9.703667713437035,0,0,0,881.40625,2026-09-07T00:35:00+00:00,222,14.880643591866638,93.999179,36,0,328.03125,0,16,0,0,0
